PC Adult,section_name,row_name,seat,Last Seat,Timestamp,20-Game Plan,10-Game Plan,Pick Plan,Individual ,tickets_sold,20-Game Plan $,10-Game Plan $,Pick Plan $,Group $,gross_revenue
7,PLT31,TBL1,1,2,44309,6,0,0,0,6,9184,0,0,0,0
7,PLT31,TBL1,1,3,44309,3,0,0,0,3,3590,0,0,0,0
7,PLT31,TBL1,1,4,44309,60,0,0,0,60,80731,0,0,0,0
7,PLT31,TBL1,2,3,44309,2,0,0,0,2,1924,0,0,0,0
7,PLT31,TBL1,3,4,44309,6,0,0,0,6,9184,0,0,0,0
7,PLT31,TBL1,4,4,44309,2,0,0,0,2,2159,0,0,0,0
7,PLT31,TBL2,1,2,44309,2,0,0,0,2,1093,0,0,0,0
7,PLT31,TBL2,1,4,44309,20,0,0,4,24,33389,0,0,0,8060
7,PLT31,TBL2,3,4,44309,2,0,0,0,2,1093,0,0,0,0
7,PLT31,TBL2,5,6,44309,0,0,0,2,2,0,0,0,0,1500
8,6,8,1,2,44309,0,0,0,8,8,0,0,0,0,4661
8,6,10,6,7,44309,0,0,0,4,4,0,0,0,0,1947
8,10,8,3,3,44309,0,0,0,0,0,0,0,0,0,0
8,10,8,3,4,44309,0,0,0,0,0,0,0,0,0,0
8,10,8,3,6,44309,0,0,0,12,12,0,0,0,0,11580
8,10,8,4,4,44309,0,0,0,0,0,0,0,0,0,0
8,10,8,4,6,44309,0,0,0,0,0,0,0,0,0,0
8,10,8,5,5,44309,0,0,0,0,0,0,0,0,0,0
8,10,8,5,6,44309,0,0,0,2,2,0,0,0,0,150
8,10,8,6,6,44309,0,0,0,0,0,0,0,0,0,0
8,10,11,7,8,44309,0,0,0,0,0,0,0,0,0,0
8,22,2,1,2,44309,20,0,0,0,20,13712,0,0,0,0
8,22,5,1,2,44309,38,0,0,0,38,22445,0,0,0,0
8,22,7,4,5,44309,0,0,0,4,4,0,0,0,0,1880
8,22,8,1,2,44309,2,0,0,0,2,3746,0,0,0,0
8,22,9,2,4,44309,0,0,0,3,3,0,0,0,0,1905
8,22,9,2,5,44309,16,0,4,8,28,11021,0,1346,0,5114
8,22,9,5,5,44309,0,0,0,0,0,0,0,0,0,0
