PC Adult,section_name,row_name,seat,Last Seat,Timestamp,20-Game Plan,10-Game Plan,Pick Plan,tickets_sold,10-Game Plan $ Gross,20-Game Plan $ Gross,Pick Plan $ Gross Rev,Group $ Gross,gross_revenue
M,121,4,15,15,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,240
M,121,6,10,13,4/20/2021 16:29,0,0,0,4,0,0,$0 ,$0 ,1287
N,31,17,15,16,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,380
N,106,1,1,2,4/20/2021 16:29,0,0,0,4,0,0,$0 ,$0 ,718
N,106,3,7,7,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,445
N,106,3,7,8,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,380
N,106,3,8,8,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,445
N,106,5,1,1,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,670
N,106,5,1,2,4/20/2021 16:29,0,0,0,18,0,0,$0 ,$0 ,4100
N,106,5,2,2,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,670
N,106,8,5,5,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,445
N,106,8,5,6,4/20/2021 16:29,0,0,0,4,0,0,$0 ,$0 ,1360
N,106,8,5,8,4/20/2021 16:29,0,0,0,28,0,0,$0 ,$0 ,5696
N,106,8,6,6,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,240
N,106,8,6,8,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,615
N,106,8,7,7,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,565
N,106,8,7,8,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,710
N,106,8,8,8,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,565
N,110,2,6,7,4/20/2021 16:29,0,0,0,6,0,0,$0 ,$0 ,1300
N,110,6,7,8,4/20/2021 16:29,0,0,0,4,0,0,$0 ,$0 ,760
N,110,7,7,7,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,455
N,110,7,7,8,4/20/2021 16:29,0,0,0,12,0,0,$0 ,$0 ,3090
N,110,7,8,8,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,455
N,110,8,1,1,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,670
N,110,8,1,2,4/20/2021 16:29,0,0,0,20,0,0,$0 ,$0 ,4260
N,110,8,2,2,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,670
N,122,3,1,1,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,480
N,122,3,1,2,4/20/2021 16:29,0,0,0,6,0,0,$0 ,$0 ,1200
N,122,3,2,2,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,480
N,122,5,7,7,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,175
N,122,5,7,8,4/20/2021 16:29,0,0,0,10,0,0,$0 ,$0 ,2130
N,122,5,8,8,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,175
N,122,7,1,1,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,595
N,122,7,1,2,4/20/2021 16:29,0,0,0,24,0,0,$0 ,$0 ,6190
N,122,7,2,2,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,595
N,122,8,5,6,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,380
N,122,8,7,7,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,245
N,122,8,7,8,4/20/2021 16:29,0,0,0,18,0,0,$0 ,$0 ,4140
N,122,8,8,8,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,245
N,126,1,5,6,4/20/2021 16:29,0,0,0,8,0,0,$0 ,$0 ,1448
N,126,3,1,1,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,430
N,126,3,1,2,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,238
N,126,3,2,2,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,430
N,126,6,7,7,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,740
N,126,6,7,8,4/20/2021 16:29,0,0,0,10,0,0,$0 ,$0 ,1958
N,126,6,8,8,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,740
N,126,7,7,7,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,240
N,126,7,7,8,4/20/2021 16:29,0,0,0,22,0,0,$0 ,$0 ,5090
N,126,7,8,8,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,240
N,126,8,1,1,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,595
N,126,8,1,2,4/20/2021 16:29,0,0,0,26,0,0,$0 ,$0 ,6350
N,126,8,2,2,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,595
O,102,7,8,8,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,435
O,102,7,8,9,4/20/2021 16:29,0,0,0,26,0,0,$0 ,$0 ,8456
O,102,7,9,9,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,435
O,102,8,1,1,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,590
O,102,8,1,2,4/20/2021 16:29,0,0,0,22,0,0,$0 ,$0 ,5856
O,102,8,2,2,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,590
O,102,8,17,17,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,305
O,102,8,17,18,4/20/2021 16:29,0,0,0,18,0,0,$0 ,$0 ,6070
O,102,8,18,18,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,305
O,104,4,1,1,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,1310
O,104,4,1,2,4/20/2021 16:29,0,0,0,8,0,0,$0 ,$0 ,2718
O,104,4,2,2,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,1310
O,104,4,12,13,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,840
O,104,4,12,15,4/20/2021 16:29,0,0,0,28,0,0,$0 ,$0 ,9800
O,104,4,14,15,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,840
O,104,6,10,10,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,465
O,104,6,10,11,4/20/2021 16:29,0,0,0,20,0,0,$0 ,$0 ,6634
O,104,6,11,11,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,465
O,104,8,3,3,4/20/2021 16:29,0,0,0,4,0,0,$0 ,$0 ,1013
O,104,8,3,4,4/20/2021 16:29,0,0,0,22,0,0,$0 ,$0 ,6146
O,104,8,4,4,4/20/2021 16:29,0,0,0,4,0,0,$0 ,$0 ,1013
O,104,8,17,17,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,515
O,104,8,17,18,4/20/2021 16:29,0,0,2,2,0,0,$450 ,$0 ,610
O,104,8,17,20,4/20/2021 16:29,0,0,0,40,0,0,$0 ,$0 ,10952
O,104,8,18,18,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,515
O,104,8,19,19,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,515
O,104,8,19,20,4/20/2021 16:29,0,0,2,2,0,0,$450 ,$0 ,610
O,104,8,20,20,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,515
O,105,4,4,4,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,1465
O,105,4,4,5,4/20/2021 16:29,0,0,0,20,0,0,$0 ,$0 ,4650
O,105,4,5,5,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,1465
O,105,4,14,14,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,190
O,105,4,14,15,4/20/2021 16:29,0,0,0,28,0,0,$0 ,$0 ,6476
O,105,4,15,15,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,190
O,105,6,10,10,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,305
O,105,6,11,11,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,305
O,105,8,3,6,4/20/2021 16:29,0,0,0,52,0,0,$0 ,$0 ,13992
O,105,8,20,20,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,400
O,105,8,20,21,4/20/2021 16:29,0,0,0,24,0,0,$0 ,$0 ,5368
O,105,8,21,21,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,400
O,111,4,7,7,4/20/2021 16:29,0,0,0,11,0,0,$0 ,$0 ,2644
O,111,4,8,8,4/20/2021 16:29,0,0,0,11,0,0,$0 ,$0 ,2644
O,111,6,14,14,4/20/2021 16:29,0,0,0,4,0,0,$0 ,$0 ,1039
O,111,6,14,15,4/20/2021 16:29,0,0,0,4,0,0,$0 ,$0 ,1240
O,111,6,14,17,4/20/2021 16:29,0,0,0,16,0,0,$0 ,$0 ,4100
O,111,6,15,15,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,799
O,111,6,15,17,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,720
O,111,6,16,16,4/20/2021 16:29,0,0,0,4,0,0,$0 ,$0 ,1044
O,111,6,16,17,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,750
O,111,6,17,17,4/20/2021 16:29,0,0,0,4,0,0,$0 ,$0 ,1044
O,111,7,1,1,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,215
O,111,7,1,2,4/20/2021 16:29,0,0,0,22,0,0,$0 ,$0 ,6856
O,111,7,2,2,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,215
O,111,7,7,7,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,439
O,111,7,7,8,4/20/2021 16:29,0,0,0,12,0,0,$0 ,$0 ,3020
O,111,7,8,8,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,439
O,111,8,13,13,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,654
O,111,8,13,14,4/20/2021 16:29,0,0,0,18,0,0,$0 ,$0 ,4008
O,111,8,14,14,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,654
O,111,9,5,6,4/20/2021 16:29,0,0,0,4,0,0,$0 ,$0 ,880
O,111,9,8,9,4/20/2021 16:29,0,0,0,4,0,0,$0 ,$0 ,968
O,111,9,21,24,4/20/2021 16:29,0,0,0,4,0,0,$0 ,$0 ,1060
O,112,4,12,12,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,305
O,112,4,13,13,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,305
O,112,4,14,14,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,305
O,112,4,15,15,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,305
O,112,8,3,3,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,545
O,112,8,3,4,4/20/2021 16:29,0,0,0,30,0,0,$0 ,$0 ,9164
O,112,8,4,4,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,545
O,112,8,8,9,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,620
O,112,8,17,17,4/20/2021 16:29,0,0,0,4,0,0,$0 ,$0 ,1059
O,112,8,17,18,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,398
O,112,8,17,20,4/20/2021 16:29,0,0,0,40,0,0,$0 ,$0 ,12681
O,112,8,18,18,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,694
O,112,8,18,20,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,1095
O,112,8,19,19,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,694
O,112,8,19,20,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,398
O,112,8,20,20,4/20/2021 16:29,0,0,0,3,0,0,$0 ,$0 ,694
O,112,9,9,12,4/20/2021 16:29,0,0,0,4,0,0,$0 ,$0 ,412
O,114,6,14,15,4/20/2021 16:29,0,0,0,2,0,0,$0 ,$0 ,450
O,114,8,8,8,4/20/2021 16:29,0,0,0,1,0,0,$0 ,$0 ,240
O,114,8,8,9,4/20/2021 16:29,0,0,0,14,0,0,$0 ,$0 ,3178
