PC Adult,section_name,row_name,seat,Last Seat,Timestamp,20-Game Plan,10-Game Plan,Pick Plan,tickets_sold,Total Sold,20-Game Plan $,10-Game Plan $,Pick Plan $,Group $,gross_revenue
8,23,9,3,4,5/4/2021 5:01,30,0,0,0,30,14512,0,0,0,0
8,23,9,4,4,5/4/2021 5:01,5,0,0,0,5,4383,0,0,0,0
8,23,9,15,16,5/4/2021 5:01,40,0,0,0,40,23278,0,0,0,0
8,24,7,9,10,5/4/2021 5:01,40,0,0,0,40,23278,0,0,0,0
8,24,9,3,6,5/4/2021 5:01,76,0,0,0,76,44890,0,0,0,0
8,24,9,14,14,5/4/2021 5:01,1,0,0,0,1,918,0,0,0,0
8,24,9,14,15,5/4/2021 5:01,2,0,0,0,2,1426,0,0,0,0
8,24,9,14,17,5/4/2021 5:01,68,0,0,0,68,37921,0,0,0,0
8,24,9,15,17,5/4/2021 5:01,3,0,0,0,3,2755,0,0,0,0
8,24,9,16,17,5/4/2021 5:01,2,0,0,0,2,1426,0,0,0,0
8,25,7,9,10,5/4/2021 5:01,34,0,0,0,34,20186,0,0,0,0
8,25,9,3,3,5/4/2021 5:01,1,0,0,0,1,336,0,0,0,0
8,25,9,3,4,5/4/2021 5:01,22,0,0,0,22,12639,0,0,0,0
8,25,9,3,6,5/4/2021 5:01,32,0,0,0,32,19932,0,0,0,0
8,25,9,4,5,5/4/2021 5:01,2,0,0,0,2,673,0,0,0,0
8,25,9,5,6,5/4/2021 5:01,22,0,0,0,22,12639,0,0,0,0
8,25,9,6,6,5/4/2021 5:01,1,0,0,0,1,336,0,0,0,0
8,25,9,15,16,5/4/2021 5:01,38,0,0,0,38,22445,0,0,0,0
8,26,2,1,2,5/4/2021 5:01,14,0,0,4,18,6038,0,0,0,2577
8,26,5,3,4,5/4/2021 5:01,38,0,0,2,40,19532,0,0,0,1250
8,26,7,1,2,5/4/2021 5:01,0,0,0,8,8,0,0,0,0,4630
8,26,9,3,4,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
8,26,9,3,6,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
8,26,9,7,7,5/4/2021 5:01,0,0,0,1,1,0,0,0,0,420
8,26,11,7,8,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
8,FLR23,AA,7,8,5/4/2021 5:01,2,0,0,0,2,833,0,0,0,0
8,FLR23,AA,15,18,5/4/2021 5:01,4,0,0,0,4,1666,0,0,0,0
8,FLR31W,AAW,1,2,5/4/2021 5:01,2,0,0,0,2,833,0,0,0,0
8,VIP24,5,3,4,5/4/2021 5:01,40,0,0,0,40,23278,0,0,0,0
8,VIP24,5,13,13,5/4/2021 5:01,6,0,0,0,6,3584,0,0,0,0
8,VIP24,5,13,14,5/4/2021 5:01,28,0,0,0,28,16109,0,0,0,0
8,VIP24,5,14,14,5/4/2021 5:01,6,0,0,0,6,3584,0,0,0,0
8,VIP24,5,15,15,5/4/2021 5:01,5,0,0,0,5,3430,0,0,0,0
8,VIP24,5,15,16,5/4/2021 5:01,30,0,0,0,30,16418,0,0,0,0
8,VIP24,5,16,16,5/4/2021 5:01,5,0,0,0,5,3430,0,0,0,0
8,VIP25,5,3,3,5/4/2021 5:01,3,0,0,0,3,2273,0,0,0,0
8,VIP25,5,3,4,5/4/2021 5:01,34,0,0,0,34,18732,0,0,0,0
8,VIP25,5,4,4,5/4/2021 5:01,3,0,0,0,3,2273,0,0,0,0
8,VIP25,5,13,15,5/4/2021 5:01,3,0,0,0,3,2592,0,0,0,0
